 -179.2762032772   -0.0566507783   -0.0065283250
 -179.2585158772   -0.0566553670   -0.0065291190
 -179.2408284773   -0.0566599565   -0.0065299131
 -179.2231410773   -0.0566645469   -0.0065307072
 -179.2054536773   -0.0566691380   -0.0065315014
 -179.1877662774   -0.0566737300   -0.0065322956
 -179.1700788774   -0.0566783228   -0.0065330898
 -179.1523914774   -0.0566829164   -0.0065338841
 -179.1347040774   -0.0566875109   -0.0065346784
 -179.1170166775   -0.0566921061   -0.0065354728
 -179.0993292775   -0.0566967022   -0.0065362672
 -179.0816418775   -0.0567012991   -0.0065370616
 -179.0639544775   -0.0567058969   -0.0065378561
 -179.0462670776   -0.0567104954   -0.0065386506
 -179.0285796776   -0.0567150948   -0.0065394452
 -179.0108922776   -0.0567196951   -0.0065402398
 -178.9932048777   -0.0567242961   -0.0065410345
 -178.9755174777   -0.0567288980   -0.0065418292
 -178.9578300777   -0.0567335007   -0.0065426239
 -178.9401426777   -0.0567381042   -0.0065434187
 -178.9224552778   -0.0567427086   -0.0065442135
 -178.9047678778   -0.0567473137   -0.0065450083
 -178.8870804778   -0.0567519197   -0.0065458032
 -178.8693930778   -0.0567565266   -0.0065465981
 -178.8517056779   -0.0567611342   -0.0065473931
 -178.8340182779   -0.0567657427   -0.0065481881
 -178.8163308779   -0.0567703521   -0.0065489831
 -178.7986434779   -0.0567749622   -0.0065497782
 -178.7809560780   -0.0567795732   -0.0065505734
 -178.7632686780   -0.0567841850   -0.0065513685
